uniname,subscribers,videos,views,average
University of Cambridge,231000,1080,27099498,25092
University of Oxford,197000,694,11056781,15932
The London School of Economics and Political Science,161000,2895,13481787,4657
Imperial College London,127000,1854,17136487,9243
The University of Edinburgh,73300,766,11478047,14984
University of East London,60600,800,8501402,10627
London Business School,50400,1070,4307552,4026
The University of Nottingham,47700,2145,10057111,4689
Solent University,45300,773,10756602,13915
University of South Wales,40200,724,39327657,54320
