uniname,subscribers,videos,views,average
University of South Wales,40200,724,39327657,54320
University of Cambridge,231000,1080,27099498,25092
Guildhall School of Music and Drama,33800,100,2483567,24836
De Montfort University,7050,1115,27049168,24259
University of Leicester,38700,940,17768725,18903
University of Oxford,197000,694,11056781,15932
The University of Edinburgh,73300,766,11478047,14984
Royal Academy of Music,15000,183,2617652,14304
Solent University,45300,773,10756602,13915
Royal College of Music,21500,218,2746965,12601
