uniname,subscribers,videos,views,average
The London School of Economics and Political Science,161000,2895,13481787,4657
University of Birmingham,38900,2888,7633744,2643
The University of Nottingham,47700,2145,10057111,4689
School of Advanced Study,5360,1939,867858,448
Staffordshire University,0,1917,1813101,946
Imperial College London,127000,1854,17136487,9243
SOAS,23100,1533,3842912,2507
Birmingham City University,10100,1503,3695850,2459
University of Exeter,9150,1456,7942275,5455
Bournemouth University,6600,1406,2973730,2115
