uniname,subscribers,videos,views,average
University of South Wales,40200,724,39327657,54320
University of Cambridge,231000,1080,27099498,25092
De Montfort University,7050,1115,27049168,24259
University of Leicester,38700,940,17768725,18903
Imperial College London,127000,1854,17136487,9243
The London School of Economics and Political Science,161000,2895,13481787,4657
The University of Edinburgh,73300,766,11478047,14984
University of Oxford,197000,694,11056781,15932
Solent University,45300,773,10756602,13915
The University of Nottingham,47700,2145,10057111,4689
