uniname,subscribers,videos,views,average
University of Cambridge,231000,1080,27099498,25092
University of Oxford,197000,694,11056781,15932
The London School of Economics and Political Science,161000,2895,13481787,4657
Imperial College London,127000,1854,17136487,9243
The University of Edinburgh,73300,766,11478047,14984
University of East London,60600,800,8501402,10627
London Business School,50400,1070,4307552,4026
The University of Nottingham,47700,2145,10057111,4689
Solent University,45300,773,10756602,13915
University of South Wales,40200,724,39327657,54320
University of Birmingham,38900,2888,7633744,2643
University of Leicester,38700,940,17768725,18903
Guildhall School of Music and Drama,33800,100,2483567,24836
King's College London,25300,1067,4174596,3912
University of London,24800,397,2478649,6243
University College London,23400,547,4780019,8739
SOAS,23100,1533,3842912,2507
The University of Manchester,21600,669,3512661,5251
Royal College of Music,21500,218,2746965,12601
University of Bristol,18200,619,4630616,7481
University of Surrey,16700,632,4240390,6709
University of Westminster,15900,278,1413667,5085
University of Glasgow,15800,385,1202487,3123
Royal Academy of Music,15000,183,2617652,14304
University of Essex,15000,811,2217979,2735
University of Derby,14700,993,7066931,7117
The University of Sheffield,14100,318,1800182,5661
University of the Arts London,13800,450,970187,2156
University of Dundee,11000,405,658330,1626
Coventry University,10700,527,3138113,5955
Loughborough University,10700,725,3044762,4200
Birmingham City University,10100,1503,3695850,2459
Newcastle University,9590,459,4075989,8880
Middlesex University,9280,571,2696521,4722
University of Exeter,9150,1456,7942275,5455
University of Bath,8870,617,1609207,2608
Oxford Brookes University,8640,608,2351556,3868
Liverpool John Moores University,8460,1009,2229972,2210
The University of Warwick,8440,734,1651959,2251
University of Kent,8420,744,1789805,2406
University of Worcester,8080,222,2390495,10768
University of Southampton,7820,247,1720953,6967
Nottingham Trent University,7780,317,990545,3125
Kingston University,7760,1020,2875473,2819
University of Aberdeen,7700,778,1486141,1910
Brunel University London,7350,1021,1193056,1169
Royal College of Art,7350,145,299761,2067
City,7260,648,2729842,4213
The University of York,7190,546,1586748,2906
De Montfort University,7050,1115,27049168,24259
Queen Mary University of London,7040,695,1909065,2747
Queen's University Belfast,6940,850,1179136,1387
University of Greenwich,6680,218,1216305,5579
Lancaster University,6640,806,1476244,1832
University of Hertfordshire,6640,769,647932,843
Bournemouth University,6600,1406,2973730,2115
Birkbeck,6560,1017,1669447,1642
Bangor University,6500,679,1187121,1748
The University of Law,6390,255,545795,2140
University of the West of England,6120,909,6426705,7070
University of Reading,5480,762,2687665,3527
School of Advanced Study,5360,1939,867858,448
University of East Anglia,5190,331,1636888,4945
University of Wolverhampton,5070,1117,1343078,1202
Goldsmiths,4990,261,484626,1857
University of Sussex,4960,591,2240190,3791
Anglia Ruskin University,4940,1039,1639241,1578
University of Bedfordshire,4670,523,1304861,2495
University of Liverpool,4400,407,988851,2430
University of Central Lancashire,4260,1366,1948439,1426
Royal Conservatoire of Scotland,4110,398,881968,2216
University for the Creative Arts,4010,294,570452,1940
University of West London,3850,515,1032358,2005
London South Bank University,3850,389,1832593,4711
University of Brighton,3660,985,1302269,1322
London School of Hygiene and Tropical Medicine,3650,210,439478,2093
Aston University,3630,356,1488331,4181
University of Strathclyde,3630,162,246810,1524
The University of Northampton,3550,680,5310570,7810
Heriot-Watt University,3530,311,1203789,3871
Northern School of Contemporary Dance,3520,123,1042008,8472
University of Lincoln,3480,419,2424368,5786
University of Salford,3430,352,433537,1232
Northumbria University,3370,532,1233198,2318
The Courtauld Institute of Art,3360,281,559301,1990
Sheffield Hallam University,3360,645,1234868,1915
Hartpury University and Hartpury College,3280,87,760810,8745
University of Plymouth,3210,392,2094952,5344
University of Huddersfield,3190,744,1487963,2000
University of Bradford,3180,252,1009642,4007
Teesside University,3110,654,1487042,2274
London Metropolitan University,3110,391,448038,1146
Keele University,3090,639,1089628,1705
Leeds Beckett University,3070,1330,1280754,963
The Royal Central School of Speech and Drama,3060,157,797224,5078
Manchester Metropolitan University,3020,527,669462,1270
Royal Holloway,2970,648,595034,918
University of Sunderland,2920,376,1034273,2751
Edge Hill University,2880,350,1387202,3963
Aberystwyth University,2820,708,1563074,2208
Robert Gordon University,2820,365,656799,1799
Cranfield University,2700,345,668348,1937
University of St Andrews,2670,86,142859,1661
Royal Veterinary College University of London,2600,66,130204,1973
University of Portsmouth,2570,89,372290,4183
Harper Adams University,2460,623,1577050,2531
Cardiff Metropolitan University,2380,305,480353,1575
Edinburgh Napier University,2290,238,237009,996
University of the West of Scotland,2270,367,297612,811
University of Chester,2250,435,1085737,2496
University of Stirling,1900,355,804569,2266
Trinity Laban Conservatoire of Music and Dance,1840,301,404187,1343
The University of Hull,1840,404,702066,1738
St George's,1830,128,509003,3977
Canterbury Christ Church University,1820,483,634700,1314
Swansea University,1750,386,902457,2338
University of Roehampton,1720,126,303557,2409
University College Birmingham,1480,329,240513,731
