uniname,subscribers,videos,views,average
University of Wales,39,4,18515,4629
Royal Agricultural University,810,46,71578,1556
Liverpool Institute for Performing Arts,906,52,162672,3128
Liverpool School of Tropical Medicine,479,55,25199,458
Writtle University College,167,57,63007,1105
University of Chichester,555,58,36564,630
Bishop Grosseteste University,204,66,57209,867
Royal Veterinary College University of London,2600,66,130204,1973
Leeds Arts University,948,67,94427,1409
Newman University,0,72,122494,1701
Plymouth College of Art,428,82,315029,3842
Regent's University London,1290,84,73091,870
University of St Andrews,2670,86,142859,1661
Hartpury University and Hartpury College,3280,87,760810,8745
University of Portsmouth,2570,89,372290,4183
Falmouth University,1300,91,115872,1273
The Glasgow School of Art,1080,94,134138,1427
Richmond,494,96,136175,1418
Guildhall School of Music and Drama,33800,100,2483567,24836
University of Suffolk,631,100,419039,4190
The London Institute of Banking and Finance,683,100,101360,1014
Rose Bruford College,1060,103,187911,1824
Norwich University of the Arts,602,115,38583,336
Northern School of Contemporary Dance,3520,123,1042008,8472
University of Roehampton,1720,126,303557,2409
St George's,1830,128,509003,3977
Royal Northern College of Music,0,142,886250,6241
Royal College of Art,7350,145,299761,2067
The Royal Central School of Speech and Drama,3060,157,797224,5078
Leeds College of Music,1230,162,230500,1423
University of Strathclyde,3630,162,246810,1524
Plymouth Marjon University,279,174,142741,820
Royal Academy of Music,15000,183,2617652,14304
University of Gloucestershire,1170,185,370614,2003
Queen Margaret University,585,192,166576,868
Ravensbourne University London,461,208,168088,808
London School of Hygiene and Tropical Medicine,3650,210,439478,2093
University of Greenwich,6680,218,1216305,5579
Royal College of Music,21500,218,2746965,12601
University of Worcester,8080,222,2390495,10768
University of Cumbria,1160,225,417529,1856
European School of Economics,1010,227,185675,818
Bath Spa University,1330,229,544570,2378
Edinburgh Napier University,2290,238,237009,996
The University of Winchester,1450,243,304739,1254
University of Southampton,7820,247,1720953,6967
University of Bradford,3180,252,1009642,4007
The University of Law,6390,255,545795,2140
Goldsmiths,4990,261,484626,1857
University of the Highlands and Islands,914,271,213297,787
University of Westminster,15900,278,1413667,5085
The Courtauld Institute of Art,3360,281,559301,1990
University of Bolton,1080,290,321686,1109
Arts University Bournemouth,1120,292,538586,1844
University for the Creative Arts,4010,294,570452,1940
Trinity Laban Conservatoire of Music and Dance,1840,301,404187,1343
Leeds Trinity University,577,302,187628,621
The University of Buckingham,1350,302,440558,1459
Cardiff Metropolitan University,2380,305,480353,1575
