uniname,subscribers,videos,views,average
University of South Wales,40200,724,39327657,54320
University of Cambridge,231000,1080,27099498,25092
De Montfort University,7050,1115,27049168,24259
University of Leicester,38700,940,17768725,18903
Imperial College London,127000,1854,17136487,9243
The London School of Economics and Political Science,161000,2895,13481787,4657
The University of Edinburgh,73300,766,11478047,14984
University of Oxford,197000,694,11056781,15932
Solent University,45300,773,10756602,13915
The University of Nottingham,47700,2145,10057111,4689
University of East London,60600,800,8501402,10627
University of Exeter,9150,1456,7942275,5455
University of Birmingham,38900,2888,7633744,2643
University of Derby,14700,993,7066931,7117
University of the West of England,6120,909,6426705,7070
The University of Northampton,3550,680,5310570,7810
University College London,23400,547,4780019,8739
University of Bristol,18200,619,4630616,7481
London Business School,50400,1070,4307552,4026
University of Surrey,16700,632,4240390,6709
King's College London,25300,1067,4174596,3912
Newcastle University,9590,459,4075989,8880
SOAS,23100,1533,3842912,2507
Durham University,0,1015,3756269,3701
Birmingham City University,10100,1503,3695850,2459
The University of Manchester,21600,669,3512661,5251
Coventry University,10700,527,3138113,5955
Loughborough University,10700,725,3044762,4200
Bournemouth University,6600,1406,2973730,2115
Kingston University,7760,1020,2875473,2819
Royal College of Music,21500,218,2746965,12601
City,7260,648,2729842,4213
Middlesex University,9280,571,2696521,4722
University of Reading,5480,762,2687665,3527
Royal Academy of Music,15000,183,2617652,14304
Guildhall School of Music and Drama,33800,100,2483567,24836
University of London,24800,397,2478649,6243
University of Lincoln,3480,419,2424368,5786
University of Worcester,8080,222,2390495,10768
Oxford Brookes University,8640,608,2351556,3868
University of Sussex,4960,591,2240190,3791
Liverpool John Moores University,8460,1009,2229972,2210
University of Leeds,0,1258,2221346,1766
University of Essex,15000,811,2217979,2735
University of Plymouth,3210,392,2094952,5344
University of Central Lancashire,4260,1366,1948439,1426
Queen Mary University of London,7040,695,1909065,2747
Buckinghamshire New University,1170,395,1902866,4817
Cardiff University,0,548,1872270,3417
London South Bank University,3850,389,1832593,4711
